,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
205,Santa Marta,CO,91.4,59,40,18.34,11.24,-74.21
206,Puerto Leguizamo,CO,83.11,80,44,2.57,-0.19,-74.78
207,Kindu,CD,76.85,84,44,3.24,-2.95,25.92
208,Bulaevo,KZ,18.44,76,8,8.16,54.91,70.44
209,Waterloo,CA,41,38,1,10.29,43.47,-80.52
210,Weymouth,US,41,82,90,5.82,42.22,-70.94
211,Chapais,CA,26.6,42,40,17.22,49.78,-74.86
212,Ciudad Bolivar,VE,96.16,31,0,12.86,8.12,-63.55
213,Santiago del Estero,AR,75.28,77,64,2.8,-27.8,-64.26
214,Ferme-Neuve,CA,33.16,47,32,8.5,46.7,-75.45
215,Oranjemund,ZA,63.06,97,92,11.68,-28.55,16.43
216,Husavik,CA,6.81,100,0,9.66,50.56,-96.99
217,Nanortalik,GL,34.89,100,56,28.01,60.14,-45.24
218,Rio Gallegos,AR,62.6,72,75,6.93,-51.62,-69.22
219,Itarema,BR,79.73,90,44,6.49,-2.92,-39.92
220,Capitan Bado,PY,77.21,77,68,3.13,-23.27,-55.53
221,Lakota,US,15.8,66,1,17.22,48.04,-98.34
222,Hobyo,SO,81.15,84,24,6.42,5.35,48.53
223,Shelburne,CA,42.8,41,1,11.41,44.08,-80.2
224,Gasa,BT,-4.33,36,0,1.79,27.91,89.73
225,Raichur,IN,77.89,69,0,9.51,16.2,77.36
226,Saint George,GR,53.6,71,20,2.91,39.45,22.34
227,Vila Franca do Campo,PT,59,67,20,21.92,37.72,-25.43
228,Maniitsoq,GL,27.08,75,0,4.25,65.42,-52.9
229,Nuuk,GL,42.8,35,20,5.82,64.17,-51.74
230,Santana do Livramento,BR,77.71,61,24,4.59,-30.89,-55.53
231,Blonie,PL,37.4,74,0,3.36,52.2,20.62
232,Bialystok,PL,32.08,86,0,12.64,53.13,23.15
233,Olinda,EC,86,62,75,6.93,-2.03,-79.75
234,Pangnirtung,CA,37.4,47,75,21.92,66.15,-65.72
235,Sucha Beskidzka,PL,39.2,69,40,1.12,49.74,19.59
236,Felipe Carrillo Puerto,MX,82.97,61,64,8.16,19.58,-88.05
237,Birao,CF,75.77,27,0,9.73,10.3,22.78
238,Elat,CM,69.74,99,68,2.01,2.91,11.16
239,Brigantine,US,42.8,75,90,11.41,39.41,-74.36
240,Marawi,PH,64.05,94,8,2.62,8,124.29
